user_id,theatre_id,rating
16791,450,1
16791,448,3
16791,423,2
16791,451,2
16791,363,4
16791,117,2
16791,430,1
16791,573,1
16791,176,2
16791,327,3
16791,573,2
16791,311,1
16791,472,1
16791,268,3
16791,277,1
16791,394,2
16791,313,1
16791,126,3
16791,471,3
16791,63,4
16791,186,4
16791,186,3
16791,442,1
16791,198,4
16791,172,3
16791,103,3
16791,373,4
16791,501,1
16791,120,4
16791,333,2
16791,221,1
16791,446,1
16791,430,2
16791,297,1
16791,169,2
16791,478,3
16791,167,2
16791,126,4
16791,207,2
16791,236,4
16791,148,3
16791,49,3
16791,389,4
16791,196,3
16791,223,4
16791,210,2
16791,325,4
16791,198,1
16791,556,3
16791,412,2
16791,500,3
16791,184,3
16791,542,1
16791,456,1
16791,172,4
16791,492,4
16791,103,3
16791,324,3
16791,301,2
16791,29,3
16791,537,4
16791,240,2
16791,253,1
16791,512,3
16791,144,1
16791,555,4
16791,333,4
16791,510,4
16791,156,4
16791,325,2
16791,516,2
16791,21,3
16791,235,2
16791,41,2
16791,51,2
16791,515,1
16791,200,2
16791,55,1
16791,548,4
16791,375,3
16791,122,4
16791,340,4
16791,440,1
16791,480,1
16791,58,2
16791,244,3
16791,131,3
16791,330,4
16791,412,2
16791,455,4
16791,268,2
16791,566,4
16791,236,3
16791,367,2
16791,320,1
16791,78,3
16791,373,2
16791,172,1
16791,262,4
16791,6,1
18037,450,3
18037,448,4
18037,423,4
18037,451,2
18037,363,3
18037,117,4
18037,430,3
18037,573,3
18037,176,1
18037,327,2
18037,573,2
18037,311,1
18037,472,3
18037,268,2
18037,277,2
18037,394,2
18037,313,1
18037,126,2
18037,471,1
18037,63,3
18037,186,3
18037,186,3
18037,442,4
18037,198,4
18037,172,4
18037,103,1
18037,373,3
18037,501,3
18037,120,2
18037,333,3
18037,221,2
18037,446,1
18037,430,4
18037,297,4
18037,169,4
18037,478,2
18037,167,1
18037,126,4
18037,207,3
18037,236,2
18037,148,4
18037,49,2
18037,389,3
18037,196,4
18037,223,4
18037,210,2
18037,325,4
18037,198,1
18037,556,3
18037,412,2
18037,500,2
18037,184,3
18037,542,1
18037,456,1
18037,172,2
18037,492,3
18037,103,1
18037,324,3
18037,301,2
18037,29,2
18037,537,3
18037,240,2
18037,253,3
18037,512,2
18037,144,2
18037,555,3
18037,333,2
18037,510,2
18037,156,4
18037,325,3
18037,516,2
18037,21,2
18037,235,2
18037,41,4
18037,51,1
18037,515,4
18037,200,1
18037,55,4
18037,548,4
18037,375,2
18037,122,1
18037,340,3
18037,440,1
18037,480,4
18037,58,4
18037,244,3
18037,131,4
18037,330,1
18037,412,2
18037,455,4
18037,268,3
18037,566,3
18037,236,4
18037,367,3
18037,320,4
18037,78,4
18037,373,1
18037,172,3
18037,262,2
18037,6,4
16029,450,3
16029,448,1
16029,423,4
16029,451,4
16029,363,2
16029,117,2
16029,430,1
16029,573,2
16029,176,3
16029,327,1
16029,573,2
16029,311,3
16029,472,1
16029,268,3
16029,277,4
16029,394,2
16029,313,1
16029,126,4
16029,471,2
16029,63,2
16029,186,2
16029,186,2
16029,442,1
16029,198,3
16029,172,4
16029,103,3
16029,373,4
16029,501,2
16029,120,2
16029,333,1
16029,221,4
16029,446,3
16029,430,1
16029,297,3
16029,169,3
16029,478,2
16029,167,4
16029,126,2
16029,207,4
16029,236,3
16029,148,1
16029,49,4
16029,389,1
16029,196,1
16029,223,3
16029,210,4
16029,325,3
16029,198,3
16029,556,3
16029,412,3
16029,500,2
16029,184,4
16029,542,2
16029,456,1
16029,172,2
16029,492,4
16029,103,2
16029,324,2
16029,301,4
16029,29,1
16029,537,4
16029,240,3
16029,253,2
16029,512,3
16029,144,1
16029,555,4
16029,333,3
16029,510,2
16029,156,1
16029,325,2
16029,516,1
16029,21,4
16029,235,2
16029,41,3
16029,51,3
16029,515,3
16029,200,3
16029,55,3
16029,548,2
16029,375,3
16029,122,2
16029,340,2
16029,440,2
16029,480,4
16029,58,3
16029,244,3
16029,131,3
16029,330,1
16029,412,1
16029,455,2
16029,268,4
16029,566,3
16029,236,4
16029,367,2
16029,320,4
16029,78,4
16029,373,2
16029,172,3
16029,262,1
16029,6,2
14160,450,1
14160,448,4
14160,423,3
14160,451,2
14160,363,4
14160,117,1
14160,430,2
14160,573,4
14160,176,1
14160,327,2
14160,573,4
14160,311,3
14160,472,4
14160,268,2
14160,277,3
14160,394,2
14160,313,4
14160,126,1
14160,471,1
14160,63,2
14160,186,4
14160,186,1
14160,442,4
14160,198,1
14160,172,2
14160,103,3
14160,373,4
14160,501,3
14160,120,2
14160,333,3
14160,221,1
14160,446,4
14160,430,2
14160,297,4
14160,169,4
14160,478,2
14160,167,1
14160,126,4
14160,207,2
14160,236,3
14160,148,3
14160,49,1
14160,389,4
14160,196,4
14160,223,3
14160,210,2
14160,325,1
14160,198,3
14160,556,1
14160,412,3
14160,500,3
14160,184,2
14160,542,3
14160,456,4
14160,172,4
14160,492,1
14160,103,2
14160,324,2
14160,301,1
14160,29,2
14160,537,4
14160,240,2
14160,253,1
14160,512,3
14160,144,3
14160,555,3
14160,333,2
14160,510,4
14160,156,2
14160,325,1
14160,516,3
14160,21,4
14160,235,3
14160,41,4
14160,51,4
14160,515,1
14160,200,2
14160,55,1
14160,548,1
14160,375,3
14160,122,4
14160,340,1
14160,440,3
14160,480,1
14160,58,4
14160,244,2
14160,131,2
14160,330,2
14160,412,1
14160,455,4
14160,268,2
14160,566,4
14160,236,3
14160,367,4
14160,320,2
14160,78,2
14160,373,4
14160,172,4
14160,262,1
14160,6,1
7880,450,2
7880,448,3
7880,423,4
7880,451,1
7880,363,1
7880,117,3
7880,430,2
7880,573,2
7880,176,2
7880,327,1
7880,573,2
7880,311,2
7880,472,4
7880,268,2
7880,277,4
7880,394,2
7880,313,1
7880,126,3
7880,471,3
7880,63,1
7880,186,2
7880,186,2
7880,442,4
7880,198,1
7880,172,4
7880,103,1
7880,373,1
7880,501,4
7880,120,1
7880,333,1
7880,221,3
7880,446,4
7880,430,2
7880,297,2
7880,169,4
7880,478,3
7880,167,4
7880,126,2
7880,207,4
7880,236,2
7880,148,3
7880,49,1
7880,389,4
7880,196,3
7880,223,4
7880,210,3
7880,325,3
7880,198,4
7880,556,4
7880,412,2
7880,500,1
7880,184,1
7880,542,4
7880,456,2
7880,172,2
7880,492,1
7880,103,4
7880,324,3
7880,301,4
7880,29,1
7880,537,2
7880,240,1
7880,253,1
7880,512,4
7880,144,2
7880,555,1
7880,333,1
7880,510,3
7880,156,2
7880,325,1
7880,516,2
7880,21,1
7880,235,4
