user_id,movie_id,rating,notif
9081,39408,4,False
9081,428950,4,False
9081,28013,1,False
9081,18929,4,False
9081,53404,1,False
9081,243934,2,False
9081,183654,4,False
9081,277846,2,False
9081,29063,3,False
9081,171540,2,False
9081,35919,3,False
9081,121369,2,False
9081,11676,4,False
9081,79699,1,False
9081,253687,1,False
9081,60981,1,False
9081,24486,4,False
9081,254007,1,False
9081,28740,4,False
9081,43443,4,False
9081,10810,4,True
9081,161321,2,False
9081,323383,2,False
9081,113012,4,False
9081,80432,4,False
9081,339445,4,False
9081,50916,3,False
9081,13969,3,False
9081,211722,1,False
9081,160372,2,False
9081,41282,3,False
9081,319971,2,False
9081,42950,4,False
9081,460024,1,False
9081,69605,3,False
9081,204668,1,False
9081,328429,3,False
9081,171032,4,False
9081,57816,1,False
9081,25784,3,False
9081,11176,2,False
9081,34574,4,False
9081,92780,4,False
9081,75007,4,False
9081,362108,1,False
9081,208431,2,False
9081,70842,4,False
9081,258630,4,True
9081,289190,1,False
9081,4973,4,False
9081,39310,3,False
9081,82688,1,False
9081,177117,1,False
9081,215736,3,False
9081,11986,2,False
9081,41187,4,False
9081,68360,4,True
9081,270646,2,False
9081,60437,1,False
9081,400608,2,False
9081,114903,2,False
9081,8064,2,False
9081,120990,1,True
9081,11772,3,False
9081,336121,3,False
9081,32536,4,False
9081,11396,1,False
9081,59569,1,False
9081,51791,2,False
9081,130881,3,False
9081,122466,4,False
9081,16005,1,False
9081,79896,1,False
9081,149455,2,False
9081,324794,2,False
9081,14061,3,False
9081,18512,2,False
9081,11331,3,False
9081,21868,1,False
9081,74924,2,False
9081,252476,3,False
9081,79995,2,False
9081,34276,3,False
9081,52868,4,False
9081,418697,4,False
9081,297806,1,False
9081,20946,2,False
9081,53399,3,False
9081,9021,4,False
9081,63880,1,False
9081,292510,3,False
9081,250572,2,False
9081,11911,3,False
9081,44801,3,False
9081,91094,3,True
9081,179549,1,True
9081,14177,3,False
9081,49084,4,False
9081,30128,2,False
9081,128442,3,False
940342,39408,4,False
940342,428950,2,True
940342,28013,3,False
940342,18929,4,False
940342,53404,1,False
940342,243934,4,False
940342,183654,2,True
940342,277846,4,True
