booking_id,show_id,book_date,user_id,book_type
80404,99297,2021-09-05,5403,online
80467,99297,2021-09-05,None,offline
80398,99297,2021-09-05,4594,online
80459,99297,2021-09-05,18186,online
80429,99297,2021-09-05,11156,online
80451,99297,2021-09-05,16597,online
80438,99297,2021-09-05,13772,online
80455,99297,2021-09-05,16837,online
80452,99297,2021-09-05,16605,online
80387,99297,2021-09-05,677,online
80416,99297,2021-09-05,8435,online
80448,99297,2021-09-05,16132,online
80389,99297,2021-09-05,958,online
80425,99297,2021-09-05,10701,online
80424,99297,2021-09-05,10094,online
80399,99297,2021-09-05,5075,online
80413,99297,2021-09-05,7543,online
80462,99297,2021-09-05,18740,online
80397,99297,2021-09-05,4348,online
80406,99297,2021-09-05,5655,online
80396,99297,2021-09-05,4098,online
80444,99297,2021-09-05,15413,online
80432,99297,2021-09-05,12616,online
80420,99297,2021-09-05,9317,online
80437,99297,2021-09-05,13707,online
80426,99297,2021-09-05,10771,online
80439,99297,2021-09-05,14468,online
80388,99297,2021-09-05,712,online
80464,99297,2021-09-05,19402,online
80422,99297,2021-09-05,9714,online
80466,99297,2021-09-05,19476,online
80454,99297,2021-09-05,16821,online
80411,99297,2021-09-05,7030,online
80447,99297,2021-09-05,15653,online
80394,99297,2021-09-05,3239,online
80446,99297,2021-09-05,15488,online
80386,99297,2021-09-05,613,online
80436,99297,2021-09-05,13661,online
80427,99297,2021-09-05,10964,online
80390,99297,2021-09-05,1450,online
80430,99297,2021-09-05,11867,online
80402,99297,2021-09-05,5280,online
80443,99297,2021-09-05,15169,online
80409,99297,2021-09-05,6745,online
80440,99297,2021-09-05,14789,online
80461,99297,2021-09-05,18600,online
80401,99297,2021-09-05,5277,online
80393,99297,2021-09-05,2282,online
80435,99297,2021-09-05,13481,online
80412,99297,2021-09-05,7155,online
80431,99297,2021-09-05,12490,online
80442,99297,2021-09-05,15151,online
80449,99297,2021-09-05,16164,online
80391,99297,2021-09-05,2126,online
80441,99297,2021-09-05,15099,online
80400,99297,2021-09-05,5237,online
80456,99297,2021-09-05,16876,online
80433,99297,2021-09-05,12633,online
80463,99297,2021-09-05,18977,online
80419,99297,2021-09-05,9299,online
80465,99297,2021-09-05,19471,online
80407,99297,2021-09-05,6035,online
80408,99297,2021-09-05,6672,online
80395,99297,2021-09-05,3773,online
80460,99297,2021-09-05,18496,online
80417,99297,2021-09-05,8652,online
80458,99297,2021-09-05,17932,online
80414,99297,2021-09-05,7984,online
80385,99297,2021-09-05,359,online
80405,99297,2021-09-05,5510,online
80421,99297,2021-09-05,9537,online
80453,99297,2021-09-05,16706,online
80403,99297,2021-09-05,5339,online
80423,99297,2021-09-05,10092,online
80410,99297,2021-09-05,6971,online
80415,99297,2021-09-05,8293,online
80392,99297,2021-09-05,2190,online
80428,99297,2021-09-05,11060,online
80445,99297,2021-09-05,15487,online
80434,99297,2021-09-05,12892,online
80457,99297,2021-09-05,17403,online
80450,99297,2021-09-05,16368,online
80418,99297,2021-09-05,8884,online
2287,104113,2021-09-21,7629,online
2307,104113,2021-09-21,13839,online
2323,104113,2021-09-21,17816,online
2279,104113,2021-09-21,5799,online
2334,104113,2021-09-21,None,offline
2333,104113,2021-09-21,19868,online
2322,104113,2021-09-21,17358,online
2261,104113,2021-09-21,1205,online
2313,104113,2021-09-21,15842,online
2256,104113,2021-09-21,122,online
2319,104113,2021-09-21,17078,online
2328,104113,2021-09-21,19292,online
2304,104113,2021-09-21,13436,online
2257,104113,2021-09-21,226,online
2258,104113,2021-09-21,257,online
2295,104113,2021-09-21,10455,online
2332,104113,2021-09-21,19832,online
2260,104113,2021-09-21,615,online
2282,104113,2021-09-21,6906,online
2317,104113,2021-09-21,16735,online
2296,104113,2021-09-21,10930,online
2277,104113,2021-09-21,5463,online
2310,104113,2021-09-21,15305,online
2300,104113,2021-09-21,11863,online
2271,104113,2021-09-21,3721,online
2267,104113,2021-09-21,2618,online
2293,104113,2021-09-21,9757,online
2324,104113,2021-09-21,17928,online
2266,104113,2021-09-21,2449,online
2311,104113,2021-09-21,15326,online
2291,104113,2021-09-21,8097,online
2331,104113,2021-09-21,19782,online
2299,104113,2021-09-21,11821,online
2308,104113,2021-09-21,13941,online
2283,104113,2021-09-21,6967,online
2318,104113,2021-09-21,16971,online
2273,104113,2021-09-21,4017,online
2272,104113,2021-09-21,3752,online
2286,104113,2021-09-21,7383,online
2303,104113,2021-09-21,13182,online
2262,104113,2021-09-21,1971,online
2265,104113,2021-09-21,2291,online
2316,104113,2021-09-21,16526,online
2268,104113,2021-09-21,2686,online
2275,104113,2021-09-21,4778,online
2314,104113,2021-09-21,16093,online
2255,104113,2021-09-21,101,online
2305,104113,2021-09-21,13443,online
2290,104113,2021-09-21,8072,online
2306,104113,2021-09-21,13652,online
2312,104113,2021-09-21,15663,online
2263,104113,2021-09-21,2040,online
2280,104113,2021-09-21,6434,online
2325,104113,2021-09-21,18633,online
2288,104113,2021-09-21,7684,online
2302,104113,2021-09-21,12776,online
2259,104113,2021-09-21,558,online
2327,104113,2021-09-21,19050,online
2294,104113,2021-09-21,10095,online
2320,104113,2021-09-21,17090,online
2276,104113,2021-09-21,5242,online
2292,104113,2021-09-21,9118,online
2270,104113,2021-09-21,3602,online
2264,104113,2021-09-21,2106,online
2298,104113,2021-09-21,11153,online
2274,104113,2021-09-21,4509,online
2301,104113,2021-09-21,12157,online
2297,104113,2021-09-21,11138,online
