user_id,genre_id
1,99
1,53
1,10751
2,10752
2,10402
2,36
3,99
3,28
4,16
4,36
4,878
5,16
5,99
5,12
6,35
6,36
6,14
7,10402
7,35
8,10752
8,10402
8,37
9,16
9,10402
9,99
10,10752
10,99
10,9648
11,9648
11,36
11,12
12,10770
12,35
12,14
13,99
13,16
13,27
14,35
14,28
14,14
15,16
15,10402
15,53
16,99
16,878
16,10751
17,27
17,36
18,10752
18,10770
18,35
19,27
19,53
19,878
20,99
20,12
20,10749
21,18
21,10749
21,878
22,80
22,53
22,10751
23,28
23,37
24,10770
24,36
24,53
25,10769
25,878
26,9648
26,10752
26,28
27,16
27,10752
27,27
28,10770
28,28
28,53
29,10752
29,10749
29,53
30,28
30,14
30,36
31,18
31,35
31,53
32,10402
32,37
32,10749
33,16
33,10402
33,9648
34,10752
34,18
34,10751
35,10769
35,27
35,53
36,16
36,35
36,14
37,27
37,35
37,10749
38,27
38,36
38,53
39,9648
39,99
39,53
40,35
40,36
40,10749
41,12
41,53
41,36
42,36
42,28
43,10770
43,36
43,10749
44,99
44,10769
44,27
45,10752
45,28
45,14
46,16
46,80
46,14
47,53
47,12
47,10749
48,37
48,36
48,53
49,80
49,18
50,16
50,10770
50,99
51,18
51,53
51,878
52,10770
52,35
52,53
53,80
53,99
54,10752
54,99
54,53
55,10402
55,35
55,10751
56,10752
56,10769
56,99
57,28
57,37
57,10751
58,35
58,53
58,10751
59,27
59,10749
59,14
60,10752
60,10770
60,10749
61,80
61,10749
61,9648
62,53
62,10751
63,10769
63,10770
63,99
64,9648
64,10402
64,878
65,27
65,14
65,10751
66,99
66,36
67,18
67,36
67,37
68,37
68,14
69,9648
69,12
69,14
70,80
70,10402
70,10770
71,10752
71,27
71,28
72,10752
72,28
73,10402
73,10770
73,14
74,10770
74,18
74,37
75,10752
75,80
75,36
76,10769
76,53
76,14
77,12
77,53
77,10751
78,10752
78,10402
78,27
79,18
79,99
79,14
80,9648
80,99
81,16
81,37
81,14
82,10770
82,53
82,14
83,16
83,10769
83,27
84,35
84,36
84,10751
85,10402
85,36
85,53
86,10752
86,10769
86,35
87,9648
87,80
87,27
88,9648
88,35
88,10751
89,35
89,36
89,14
90,27
90,36
90,10749
91,18
91,10749
92,16
92,10770
92,35
93,16
93,53
94,80
94,10770
94,14
95,9648
95,10749
95,878
96,80
96,12
96,10751
97,10752
97,99
97,9648
98,9648
98,10751
99,99
99,14
99,10751
100,10752
100,16
100,12
101,80
101,16
101,10402
102,10752
102,37
102,878
103,80
103,10751
104,18
104,14
105,16
105,10769
105,99
106,9648
106,10402
106,14
107,16
107,36
107,10749
108,9648
108,18
108,35
109,10770
109,10749
109,878
110,10752
110,18
110,28
111,27
111,10402
111,99
112,27
112,99
112,36
113,10769
113,28
114,10752
114,10769
114,878
115,36
115,10751
116,28
116,37
116,14
117,35
117,99
117,53
118,99
118,10749
118,878
119,35
119,878
120,10402
120,37
120,10749
121,10770
121,99
121,28
122,10770
122,28
122,878
123,16
123,10749
123,14
124,12
124,878
125,16
125,10769
125,35
126,35
126,12
127,18
127,10402
127,10770
128,27
128,28
129,10769
129,12
129,14
130,10752
130,27
130,14
131,99
131,27
131,35
132,80
132,53
132,10749
133,99
133,53
133,10751
134,9648
134,10749
134,14
135,10769
135,878
135,14
136,10402
136,10770
136,10749
137,16
137,36
138,12
138,10749
138,14
139,80
139,36
139,878
140,27
140,12
140,37
141,9648
141,10770
141,12
142,16
142,12
142,878
143,9648
143,35
143,27
144,10752
144,37
144,9648
145,27
145,10751
146,10769
146,27
146,10749
147,10749
147,27
147,37
148,37
148,99
148,53
149,10752
149,10769
149,10770
150,10770
150,35
150,12
151,10769
151,53
151,10751
152,80
152,10402
152,14
153,16
153,36
153,53
154,10402
154,53
154,878
155,10769
155,35
155,878
156,10752
156,36
156,53
157,16
157,35
157,10749
158,80
158,10402
158,37
159,80
159,10770
159,99
160,10769
160,36
160,37
161,99
161,35
161,37
162,10752
162,16
162,10402
163,10752
163,10402
163,878
164,36
164,14
164,10751
165,10770
165,53
165,37
166,16
166,10770
166,878
167,80
167,10770
167,878
168,35
168,12
168,36
169,9648
169,10749
169,10751
170,53
170,37
170,10749
171,80
171,28
171,36
172,10402
172,99
172,10749
173,10752
173,99
173,10749
174,27
174,37
175,10770
175,18
175,10749
176,10752
176,27
176,9648
177,10752
177,35
177,10749
178,10752
178,18
178,80
179,10752
179,37
179,9648
180,16
180,12
180,10749
181,99
181,14
182,80
182,27
182,10751
183,10769
183,27
183,28
184,80
184,36
184,10749
185,9648
185,10752
185,12
186,9648
186,12
186,37
187,16
187,10770
187,10751
188,9648
188,10402
189,10402
189,18
189,10751
190,12
190,53
190,878
191,18
191,12
192,80
192,878
193,9648
193,36
194,80
194,10752
194,10751
195,10770
195,99
195,14
196,10769
196,35
196,10751
197,27
197,36
197,10751
198,80
198,27
198,53
199,9648
199,10769
199,35
200,10769
200,99
200,10751
201,9648
201,10769
201,35
202,10769
202,35
202,10751
203,80
203,28
203,12
204,10749
204,878
204,14
205,80
205,10769
205,35
206,16
206,27
206,878
207,10769
207,10402
207,10751
208,27
208,12
208,53
209,37
209,10751
210,80
210,28
210,10751
211,16
211,10770
211,27
212,10769
212,53
213,35
213,28
214,27
214,28
214,878
215,18
215,10770
215,99
216,10402
216,18
216,10749
217,10749
217,10770
217,37
218,18
218,12
218,53
219,10752
219,12
219,10751
220,10769
220,36
220,53
221,9648
221,14
222,16
222,36
222,14
223,10402
223,35
223,10751
224,27
224,36
225,35
225,36
226,10770
226,99
226,28
227,10749
227,12
227,37
228,80
228,18
228,878
229,10752
229,10749
229,10751
230,80
230,99
231,16
231,10769
231,18
232,28
232,53
232,14
233,80
233,10769
233,53
234,9648
234,18
234,27
235,10770
235,27
235,28
236,27
236,10749
236,878
237,10770
237,35
237,53
238,10769
238,37
238,10751
239,80
239,53
239,878
240,10402
240,18
240,35
241,9648
241,16
241,28
242,9648
242,36
243,37
243,10749
243,878
244,10752
244,99
244,36
245,9648
245,80
245,28
246,9648
246,10752
246,35
247,80
247,10749
247,53
248,80
248,99
248,14
249,18
249,10770
249,37
250,37
250,27
250,53
251,18
251,35
252,27
252,99
252,12
253,16
253,99
253,53
254,9648
254,10769
254,10770
255,36
255,14
255,10751
256,18
256,37
256,10751
257,9648
257,10770
257,37
258,9648
258,80
258,27
259,10402
259,18
259,10749
260,16
260,28
261,99
261,36
261,53
262,80
262,10769
262,10749
263,16
263,10752
263,14
264,10770
264,28
264,10751
265,18
265,28
265,53
266,10752
266,18
266,12
267,9648
267,99
267,28
268,10752
268,10402
268,35
269,10402
269,35
269,53
270,10770
270,14
271,27
271,12
271,878
272,16
272,10770
272,99
273,10770
273,10749
274,10749
274,18
274,37
275,10752
275,10769
275,35
276,18
276,10770
276,27
277,99
277,14
277,10751
278,9648
278,27
279,10769
279,10749
279,878
280,10402
280,10770
280,80
281,35
281,53
281,878
282,80
282,10769
283,10752
283,10769
283,28
284,18
284,36
285,99
285,10770
285,18
286,27
286,36
287,9648
287,10402
288,10769
288,10402
288,35
289,10752
289,18
289,27
290,10402
290,10770
290,10749
291,16
291,53
291,14
292,9648
292,80
292,37
293,37
293,10751
294,16
294,27
294,35
295,80
295,10770
295,10751
296,16
296,18
296,99
297,10769
297,36
297,14
298,9648
298,10749
298,53
299,10749
299,37
299,10751
300,10770
300,878
301,99
301,35
301,37
302,10769
302,36
302,14
303,9648
303,10770
303,10751
304,10769
304,10402
304,37
305,10402
305,28
305,36
306,35
306,37
306,878
307,80
307,10749
307,10751
308,10752
308,27
309,27
309,36
309,12
310,99
310,36
310,14
311,9648
311,10769
311,10770
312,28
312,36
313,10402
313,10770
313,14
314,9648
314,18
314,37
315,16
315,10752
315,9648
316,9648
316,10770
317,9648
317,28
317,14
318,37
318,878
318,14
319,16
319,10402
319,36
320,10769
320,10402
320,37
321,10770
321,28
321,14
322,99
322,36
322,14
323,9648
323,12
323,10749
324,36
324,12
324,878
325,80
325,35
325,36
326,10770
326,12
326,878
327,18
327,36
328,35
328,36
328,37
329,80
329,37
329,14
330,10752
330,53
330,14
331,10770
331,53
332,80
332,16
332,10402
333,10402
333,35
334,10769
334,18
334,10751
335,80
335,37
335,10751
336,9648
336,80
336,878
337,18
337,27
337,10749
338,18
338,35
338,10749
339,10752
339,10749
339,878
340,10752
340,10769
340,80
341,10402
341,18
341,99
342,9648
342,35
342,10751
343,27
343,12
343,53
344,80
344,10770
344,18
345,80
345,37
346,10770
346,35
346,14
347,10752
347,18
347,10749
348,10402
348,10752
348,10770
349,16
349,35
349,37
350,10752
350,10402
350,53
351,10752
351,27
351,14
352,10752
352,37
352,14
353,16
353,35
353,37
354,80
354,36
354,12
355,9648
355,28
355,878
356,53
356,10749
357,10769
357,28
357,12
358,10752
358,27
359,10752
359,18
359,99
360,28
360,10749
360,14
361,9648
361,10752
361,27
362,35
362,10749
362,878
363,9648
363,10752
363,10402
364,35
364,99
364,37
365,10752
365,12
365,878
366,10402
366,27
366,36
367,53
367,35
367,10749
368,16
368,37
368,10751
369,10770
369,27
369,10749
370,16
370,10770
370,36
371,27
371,12
371,37
372,10752
372,37
372,14
373,99
373,878
373,10751
374,9648
374,18
374,10402
375,16
375,12
375,9648
376,10402
376,28
376,10751
377,10752
377,16
377,10770
378,53
378,14
379,99
379,36
379,12
380,18
380,28
380,10751
381,16
381,10749
382,80
382,99
382,878
383,28
383,36
383,12
384,9648
384,16
384,27
385,10769
385,27
385,10749
386,10402
386,10770
386,36
387,9648
387,99
388,9648
388,10769
388,10749
389,10770
389,12
389,28
390,80
390,35
390,53
391,10770
391,99
391,878
392,80
392,53
393,28
393,37
393,10751
394,10770
394,99
394,36
395,9648
395,10769
395,878
396,9648
396,10769
396,10752
397,9648
397,10752
397,27
398,16
398,35
398,36
399,18
399,28
400,80
400,36
400,10749
401,99
401,28
401,10749
402,37
402,28
402,10749
403,9648
403,37
403,14
404,18
404,27
404,878
405,35
405,28
405,10751
406,99
406,12
406,10751
407,9648
407,10769
407,14
408,10402
408,36
408,10751
409,10770
409,27
410,10769
410,10402
410,10751
411,16
411,10770
411,18
412,10749
412,14
412,10751
413,35
413,99
413,878
414,16
414,36
414,53
415,10752
415,10402
415,12
416,10770
416,36
416,10749
417,53
418,10749
418,36
418,37
419,10752
419,28
419,10749
420,16
420,12
420,28
421,10752
421,27
421,878
422,16
422,10770
423,10752
423,36
423,878
424,80
424,35
424,10749
425,10752
425,99
425,36
426,10770
426,18
427,10752
427,878
427,14
428,16
428,80
428,28
429,35
429,12
430,80
430,12
430,10749
431,16
431,10402
431,14
432,18
432,36
432,878
433,9648
433,10770
433,10749
434,10752
434,18
434,878
435,10752
435,10402
435,10749
436,10752
436,10769
436,878
437,10769
437,10749
438,53
438,36
438,28
439,35
439,12
440,9648
440,36
440,37
441,10752
441,37
441,878
442,53
442,14
443,9648
443,10402
444,28
444,53
444,14
445,9648
445,10770
445,12
446,10770
446,37
446,878
447,16
447,18
447,36
448,99
448,28
448,53
449,28
449,36
450,80
450,18
450,53
451,28
451,53
451,878
452,35
452,27
452,12
453,80
453,10770
453,28
454,10749
454,10751
455,9648
455,99
455,10751
456,9648
456,10769
456,99
457,16
457,99
457,28
458,10752
458,10770
458,10751
459,27
459,99
459,10751
460,16
460,27
460,99
461,28
461,12
461,10751
462,10769
462,36
462,10749
463,99
463,36
463,10749
464,16
464,18
465,80
465,99
466,10752
466,99
466,53
467,9648
467,10769
467,878
468,99
468,36
468,37
469,18
469,53
470,10752
470,28
470,9648
471,9648
471,35
471,14
472,16
472,878
472,10751
473,10770
473,12
473,10749
474,10770
474,28
474,878
475,80
475,10769
475,35
476,27
476,35
476,36
477,16
477,99
477,10749
478,10402
478,12
478,53
479,9648
479,10402
479,27
480,10770
480,35
480,878
481,16
481,10769
481,10402
482,10770
482,10749
483,10770
483,28
483,14
484,10769
484,10770
484,99
485,9648
485,16
485,18
486,80
486,9648
486,14
487,18
487,12
487,10751
488,53
488,37
488,878
489,10402
489,18
489,10751
490,9648
490,37
490,10749
491,18
491,53
491,10751
492,10402
492,12
492,14
493,10402
493,12
493,10749
494,9648
494,10752
494,10749
495,9648
495,18
495,14
496,9648
496,16
496,37
497,10752
497,9648
497,878
498,35
498,28
498,37
499,16
499,36
499,12
500,10749
500,14
501,10769
501,18
501,10751
502,12
502,37
503,10402
503,28
504,10402
504,10770
505,12
505,36
505,28
506,18
506,37
506,878
507,10402
507,10770
507,36
508,27
508,10402
508,35
509,18
509,10770
509,53
510,9648
510,80
510,10751
511,80
511,9648
511,10751
512,80
512,10749
512,10751
513,80
513,99
513,14
514,80
514,10402
514,28
515,35
515,18
515,27
516,99
516,10751
517,10752
517,28
517,10749
518,10770
518,18
518,36
519,28
519,878
519,10751
520,10402
520,35
520,10751
521,10402
521,27
521,10749
522,80
522,27
523,10752
523,10769
523,53
524,878
524,99
524,14
